	iflood	etss	estofs	Time_adcirc	observed	Time_observed	ahps	Time_ahps	Time_etss
35	-0.016707728355100156	3.2060000000000004	0.88	2018-12-18 18:00:00	3.027	2018-12-16 11:00:00	1.31	2018-12-19 05:00:00	2018-12-19 00:00:00
36	0.47938938715499996	2.647	1.13	2018-12-18 19:00:00	2.754	2018-12-16 12:00:00	1.35	2018-12-19 06:00:00	2018-12-19 01:00:00
37	0.9057786122409001	2.178	1.08	2018-12-18 20:00:00	2.533	2018-12-16 13:00:00	1.57	2018-12-19 07:00:00	2018-12-19 02:00:00
38	1.1812260231036602	1.8559999999999999	0.9	2018-12-18 21:00:00	2.34	2018-12-16 14:00:00	2.2	2018-12-19 08:00:00	2018-12-19 03:00:00
39	1.21923532481589	1.5759999999999998	0.63	2018-12-18 22:00:00	2.26	2018-12-16 15:00:00	2.79	2018-12-19 09:00:00	2018-12-19 04:00:00
40	0.8581535946839002	1.6019999999999999	0.29	2018-12-18 23:00:00		2018-12-16 16:00:00	2.95	2018-12-19 10:00:00	2018-12-19 05:00:00
41	0.5118757565331998	2.017	0.04	2018-12-19 00:00:00	3.187	2018-12-16 17:00:00	2.79	2018-12-19 11:00:00	2018-12-19 06:00:00
42	0.16002674199479985	2.75	-0.16	2018-12-19 01:00:00	3.798	2018-12-16 18:00:00	2.43	2018-12-19 12:00:00	2018-12-19 07:00:00
43	-0.13997348096309997	3.4139999999999997	-0.34	2018-12-19 02:00:00	4.113	2018-12-16 19:00:00	2.0	2018-12-19 13:00:00	2018-12-19 08:00:00
44	-0.44683843949429997	3.77	-0.44	2018-12-19 03:00:00	4.149	2018-12-16 20:00:00	1.61	2018-12-19 14:00:00	2018-12-19 09:00:00
45	-0.6805174681306	3.832	-0.35	2018-12-19 04:00:00	4.018	2018-12-16 21:00:00	1.28	2018-12-19 15:00:00	2018-12-19 10:00:00
46	-0.7797582127455001	3.701	0.15	2018-12-19 05:00:00	3.762	2018-12-16 22:00:00	1.02	2018-12-19 16:00:00	2018-12-19 11:00:00
47	-0.4308776868943	3.2119999999999997	0.69	2018-12-19 06:00:00	3.493	2018-12-16 23:00:00	0.89	2018-12-19 17:00:00	2018-12-19 12:00:00
48	0.049126533084599786	2.615	0.94	2018-12-19 07:00:00	3.279	2018-12-17 00:00:00	0.98	2018-12-19 18:00:00	2018-12-19 13:00:00
49	0.4905117258303999	2.0669999999999997	1.0	2018-12-19 08:00:00	3.115	2018-12-17 01:00:00	1.57	2018-12-19 19:00:00	2018-12-19 14:00:00
50	0.8177568917937	1.679	1.02	2018-12-19 09:00:00	3.053	2018-12-17 02:00:00	2.59	2018-12-19 20:00:00	2018-12-19 15:00:00
51	1.0112987948391	1.4969999999999999	0.85	2018-12-19 10:00:00	3.083	2018-12-17 03:00:00	3.15	2018-12-19 21:00:00	2018-12-19 16:00:00
52	0.8573134811818001	1.537	0.38	2018-12-19 11:00:00	3.273	2018-12-17 04:00:00	3.28	2018-12-19 22:00:00	2018-12-19 17:00:00
53	0.45836420303959996	1.9380000000000002	-0.06	2018-12-19 12:00:00	3.69	2018-12-17 05:00:00	3.12	2018-12-19 23:00:00	2018-12-19 18:00:00
54	0.04221788132629985	2.748	-0.29	2018-12-19 13:00:00	4.208	2018-12-17 06:00:00	2.76	2018-12-20 00:00:00	2018-12-19 19:00:00
55	-0.2994617682048999	3.62	-0.43	2018-12-19 14:00:00			2.33	2018-12-20 01:00:00	2018-12-19 20:00:00
56	-0.5843877857612002	4.168	-0.49	2018-12-19 15:00:00			1.87	2018-12-20 02:00:00	2018-12-19 21:00:00
57	-0.7951329397016001	4.333	-0.19	2018-12-19 16:00:00			1.48	2018-12-20 03:00:00	2018-12-19 22:00:00
58	-0.7402731701558003	4.177	0.56	2018-12-19 17:00:00			1.18	2018-12-20 04:00:00	2018-12-19 23:00:00
59	-0.2225407994217	3.741	1.03	2018-12-19 18:00:00			0.95	2018-12-20 05:00:00	2018-12-20 00:00:00
60	0.2997368600407999	3.162	1.24	2018-12-19 19:00:00			0.89	2018-12-20 06:00:00	2018-12-20 01:00:00
61	0.7458882184350001	2.592	1.4	2018-12-19 20:00:00			1.15	2018-12-20 07:00:00	2018-12-20 02:00:00
62	1.1018870824249902	2.12	1.57	2018-12-19 21:00:00			2.0	2018-12-20 08:00:00	2018-12-20 03:00:00
63	1.1704809947364303	1.88	1.65	2018-12-19 22:00:00			2.79	2018-12-20 09:00:00	2018-12-20 04:00:00
64	1.45580093755209	1.67	1.46	2018-12-19 23:00:00					2018-12-20 05:00:00
65	1.3597955136904352	1.7080000000000002	0.9	2018-12-20 00:00:00					2018-12-20 06:00:00
66	0.9663196721435001	2.19	0.37	2018-12-20 01:00:00					2018-12-20 07:00:00
67	0.5777780695219998	2.985	0.12	2018-12-20 02:00:00					2018-12-20 08:00:00
68	0.21027204522389992	3.67	0.02	2018-12-20 03:00:00					2018-12-20 09:00:00
69	-0.09621183795319994	4.025	0.01	2018-12-20 04:00:00					2018-12-20 10:00:00
70	-0.36920717095829997	4.058	0.35	2018-12-20 05:00:00					2018-12-20 11:00:00
71	-0.29301595727360014	3.7680000000000002	1.02	2018-12-20 06:00:00					2018-12-20 12:00:00
72	0.2465792335948999	3.23	1.43	2018-12-20 07:00:00					2018-12-20 13:00:00
73	0.763625593163	2.6189999999999998	1.62	2018-12-20 08:00:00					2018-12-20 14:00:00
74	1.1586567790289501	2.079	1.76	2018-12-20 09:00:00					2018-12-20 15:00:00
75	1.31955201222295	1.7069999999999999	1.83	2018-12-20 10:00:00					2018-12-20 16:00:00
76	1.5941264132276898	1.5330000000000001	1.64	2018-12-20 11:00:00					2018-12-20 17:00:00
77	1.51165554658857	1.6030000000000002	1.1	2018-12-20 12:00:00					2018-12-20 18:00:00
78	1.1382852080419101	2.09	0.59	2018-12-20 13:00:00					2018-12-20 19:00:00
79	0.7403718764160001	2.99	0.34	2018-12-20 14:00:00					2018-12-20 20:00:00
80	0.3686728663421999	3.8930000000000002	0.22	2018-12-20 15:00:00					2018-12-20 21:00:00
81	0.0615225277434	4.4239999999999995	0.23	2018-12-20 16:00:00					2018-12-20 22:00:00
82	-0.20656250659569994	4.544	0.7	2018-12-20 17:00:00					2018-12-20 23:00:00
83	-0.01170074518110016	4.314	1.43	2018-12-20 18:00:00					2018-12-21 00:00:00
